kata,bobot
sulit,-2.3960494522962037
susah,-2.2846336286525575
eror,-2.0647008112834078
buruk,-1.855695198686607
otp,-1.802796393728057
jelek,-1.7374211201729606
aja,-1.6528071424478603
bikin,-1.6349517885714162
daftar,-1.6265872700318174
gagal,-1.393350332025979
verifikasi,-1.3716676258956444
perintah,-1.3642772069916533
jaring,-1.3161169318317165
bayar,-1.3071192265467306
mulu,-1.2986182768996513
mudah sulit,-1.2976573124525528
kode,-1.2947191935407634
gabisa,-1.2917248145113671
suruh,-1.2695874196085295
nik,-1.232074825882336
parah,-1.201869457406213
gimana,-1.1873677333392836
sandi,-1.167456414361568
ribet,-1.1611601961780715
payah,-1.1588429682440284
muncul,-1.1370343434631194
bener,-1.1133662278214354
ulang,-1.1120013642393958
aneh,-1.1115737015484024
sampah,-1.1075964902035262
sinyal,-1.0814233549529482
tolong,-1.075990168959267
tolol,-1.0749023814343825
kecewa,-1.068741999092783
busuk,-1.0687394799037453
ganggu,-1.0687392357012393
nyusahin,-1.0687391255242382
kutu,-1.0687389452216374
baru,-1.0687388184040514
lot,-1.0687386056719568
buka,-1.068738497139692
sms,-1.0687383958885917
gajelas,-1.068738383108181
akun,-1.068738141745896
captcha,-1.0687374481058904
offline,-1.051299441712304
internet,-1.0459761161837355
nomor,-1.039131282995545
masalah,-1.0279396299766665
ponsel,-1.0218409681191285
unduh,-1.009405860099461
gin,-0.9893457470091327
tolong baik,-0.978048171505296
jaring bagus,-0.9763489586750707
bobrok,-0.9734471109520635
pas,-0.9710791981665204
niat,-0.9648764609225522
lelet,-0.9480850865083431
screenshot,-0.9346155455390671
kacau,-0.929072822242772
log,-0.9290229660873996
salah,-0.9162616875668026
muter,-0.9137897533297574
kirim,-0.9117066071465589
jam,-0.9074681524861771
muat,-0.8808353003039362
ruwet,-0.8558819379194433
wajah,-0.8486769254425788
pake,-0.8372270397363829
rusak,-0.8347546538957441
burik,-0.8258442254185134
laden,-0.8213166808159509
kali,-0.818926788284785
verivikasi,-0.8180144367809492
sinyal bagus,-0.8170006892247659
banyak,-0.8151711725599546
ngelag,-0.7943206236872289
out,-0.7934828729923933
ni,-0.7848465738241256
hapus,-0.7842294216698092
ampas,-0.7777731033933507
kaga,-0.7770045326897635
doang,-0.7451305451022212
pdhl,-0.7451140784724005
nunggu,-0.7355311641288146
masak,-0.7345256918664917
lambat,-0.732582375829235
coba,-0.7317374428882724
cacat,-0.7259955665687764
ambil,-0.7204124777759696
tutup,-0.7187952584632347
mending,-0.7160955209387574
nonaktif,-0.7127770056258219
in,-0.7007496123793797
kocak,-0.6914861370584586
hilang,-0.6791432931707073
minta,-0.6719083314211586
tulis,-0.6705098567597457
trouble,-0.6701500637569762
klik,-0.6679416923320659
masuk,-0.6673848976817658
org,-0.6664328112435197
gilir,-0.6663934109522709
rujuk,-0.6640282110028436
bosok,-0.6633147368700244
minta proses,-0.658657078818992
perangkat,-0.6507073405441097
pakai,-0.6406631146098024
lansia,-0.6383468454777375
simpan,-0.6379002848192225
ujung,-0.6371228244662491
koneksi,-0.6333124941737194
auto,-0.6303548536611013
dikit,-0.626632316382887
terang,-0.6245765553095096
device,-0.6225461080299738
kesel,-0.6184223342838215
root,-0.6173752034751359
ambil antre,-0.6161211937561097
negara,-0.615440534002155
ngebug,-0.6151798259059136
alas,-0.6109249279995206
ngapain,-0.6097115768311618
sampe,-0.6088948920165392
habis,-0.6088728165494438
sistem,-0.604702608679058
erorr,-0.604376992706091
buang,-0.6040573206391026
maaf,-0.5974617108453841
